yr, day, time,    PV_av_pwr_ 1, Home_av_pw 2, 
  ,    ,         _Watts______,  _Watts______,  ,
8,1, 13:00,721.319702,868.089661,  
8,1, 14:00,754.489258,685.798218,  
8,1, 15:00,539.091003,848.508606,  
8,1, 16:00,245.827469,584.366455,  
8,1, 17:00,160.259384,865.316711,  
8,1, 18:00,0.231061,700.855225,  
8,1, 19:00,0.245585,567.494019,  
8,1, 20:00,0.258844,524.857239,  
8,1, 21:00,0.262036,511.687164,  
8,1, 22:00,0.243309,486.793549,  
8,1, 23:00,0.249472,432.700165,  
8,2, 00:00,0.262849,242.475601,  
8,2, 01:00,0.253543,262.648682,  
8,2, 02:00,0.263465,260.423706,  
8,2, 03:00,0.249994,245.308533,  
8,2, 04:00,0.272541,230.657135,  
8,2, 05:00,0.275562,364.037537,  
8,2, 06:00,0.282657,508.323547,  
8,2, 07:00,0.279821,493.696411,  
8,2, 08:00,0.287681,680.202759,  
8,2, 09:00,141.515884,985.582153,  
8,2, 10:00,281.10553,607.02301,  
8,2, 11:00,528.206299,523.391541,  
8,2, 12:00,566.243591,446.61026,  
8,2, 13:00,625.41626,355.050629,  
8,2, 14:00,715.733643,458.573517,  
8,2, 15:00,543.94519,398.731842,  
8,2, 16:00,192.911407,366.184143,  
8,2, 17:00,126.411148,351.428711,  
8,2, 18:00,0.20056,945.069519,  
8,2, 19:00,0.203101,654.352905,  
8,2, 20:00,0.201481,817.638611,  
8,2, 21:00,0.210638,899.82312,  
8,2, 22:00,0.192477,640.403076,  
8,2, 23:00,0.202652,458.57785,  
8,3, 00:00,0.218334,315.53894,  
8,3, 01:00,0.216666,331.525696,  
8,3, 02:00,0.222523,277.913391,  
8,3, 03:00,0.24075,236.966125,  
8,3, 04:00,0.258382,267.005402,  
8,3, 05:00,0.264768,295.133087,  
8,3, 06:00,0.259453,351.97998,  
8,3, 07:00,0.274936,508.04538,  
8,3, 08:00,0.286214,692.515076,  
8,3, 09:00,130.605789,907.360046,  
8,3, 10:00,286.091736,596.415222,  
8,3, 11:00,550.420654,530.895569,  
8,3, 12:00,383.198517,459.296295,  
8,3, 13:00,427.943542,362.427094,  
8,3, 14:00,345.341431,388.081543,  
8,3, 15:00,370.88266,416.482605,  
8,3, 16:00,178.621185,377.47406,  
8,3, 17:00,136.461395,418.698944,  
8,3, 18:00,0.216548,714.670349,  
8,3, 19:00,0.227554,893.443054,  
8,3, 20:00,0.207804,880.237488,  
8,3, 21:00,0.210488,833.103333,  
8,3, 22:00,0.219669,681.891846,  
8,3, 23:00,0.223229,594.65741,  
